"tag","class","text_preview","href"
"ul","list-subitems","Accesorios Seguridad
		
					
	
		
			Camaras Wifi
		
					
	
		
			Camaras IP",""
"ul","list-subitems","Accesorios para Servidores
		
					
	
		
			Almacenamiento
		
					
	
		
			Disipadores Termicos
		
",""
"ul","list-subitems","Smart TV
		
					
	
		
			Lamparas Led",""
"ul","list-subitems","Accesorios para Proyectores",""
"ul","list-subitems","Accesorios Cricut",""
"ul"," list-subitems","Adaptadores USB
		
		
		
			
			Alcohol Isopropílico
		
		
		
			
			Fichas & Adaptadores HDMI/DVI/V",""
"ul"," list-subitems","Accesorios para Celular",""
"ul"," list-subitems","Placas de Video
				
			
									
							

	
		
			
			
				Nvidia GeForce
				
			
									
					",""
"ul"," list-subitems","Nvidia GeForce
				
			
									
							

	
		
			
			
				RTX Series
				
			
									
							

	",""
"ul"," list-subitems","RTX Series
				
			
									
							

	
		
			
			Rtx 30xx Series
		
		
		
			
			Rtx 40xx Series
	",""
"ul"," list-subitems","Rtx 30xx Series
		
		
		
			
			Rtx 40xx Series
		
		
		
			
			Rtx 50xx Series",""
"ul"," list-subitems","Radeon Rx",""
"ul"," list-subitems","AsRock
		
		
		
			
			Asus
		
		
		
			
			Gigabyte
		
		
		
			
			MSI
		
		
		
			
			Sapphire",""
"ul"," list-subitems","AMD
				
			
									
							

	
		
			
			Athlon
		
		
		
			
			
				Socket AM4
				
			
								",""
"ul"," list-subitems","Athlon
		
		
		
			
			
				Socket AM4
				
			
									
							

	
		
			
			Ryzen 3
		
		
		
			
",""
"ul"," list-subitems","Ryzen 3
		
		
		
			
			Ryzen 5
		
		
		
			
			Ryzen 7
		
		
		
			
			Ryzen 9",""
"ul"," list-subitems","Ryzen Serie 7000
		
		
		
			
			Ryzen Serie 8000
		
		
		
			
			Ryzen Serie 9000",""
"ul"," list-subitems","Intel Celeron
		
		
		
			
			Pentium Gold
		
		
		
			
			Socket LGA1200
		
		
		
			
			Socket LGA",""
"ul"," list-subitems","AMD
				
			
									
							

	
		
			
			Socket AM4
		
		
		
			
			Socket AM5
		
							
					
	",""
"ul"," list-subitems","Socket AM4
		
		
		
			
			Socket AM5",""
"ul"," list-subitems","Socket LGA1200
		
		
		
			
			Socket LGA1700
		
		
		
			
			Socket LGA1851
		
		
		
			
			Socket ",""
"ul"," list-subitems","Discos SSD Internos
				
			
									
							

	
		
			
			Crucial
		
		
		
			
			WD
		
		
		
			
",""
"ul"," list-subitems","Crucial
		
		
		
			
			WD
		
		
		
			
			Kingston
		
		
		
			
			Adata
		
		
		
			
			Patriot
		",""
"ul"," list-subitems","WD
		
		
		
			
			Seagate",""
"ul"," list-subitems","Para PC de Escritorio
		
		
		
			
			Para Notebook
		
		
		
			
			Memorias DDR3
		
		
		
			
			Me",""
"ul"," list-subitems","Air Cooler
		
		
		
			
			Water Cooler",""
"ul"," list-subitems","Fuentes Gigabyte
		
		
		
			
			Fuentes MSI
		
		
		
			
			Fuentes Sentey
		
		
		
			
			Fuentes ",""
"ul"," list-subitems","Ranckeables
		
		
		
			
			Mini Slim
		
		
		
			
			
				Gabinetes Gamers
				
			
									
					",""
"ul"," list-subitems","Mid Tower
		
		
		
			
			Mini Tower",""
"ul"," list-subitems","Auriculares
				
			
									
							

	
		
			
			Auriculares Inalambricos
		
		
		
			
			Trust
	",""
"ul"," list-subitems","Auriculares Inalambricos
		
		
		
			
			Trust
		
		
		
			
			Logitech
		
		
		
			
			Hyperx
		
		",""
"ul"," list-subitems","Logitech
		
		
		
			
			Yeti
		
		
		
			
			GTX
		
		
		
			
			Trust
		
		
		
			
			Razer",""
"ul"," list-subitems","Logitech
		
		
		
			
			Xtech
		
		
		
			
			Trust
		
		
		
			
			Primus
		
		
		
			
			Genius
	",""
"ul"," list-subitems","Trust
		
		
		
			
			Genius
		
		
		
			
			Gx Gaming
		
		
		
			
			Philips
		
		
		
			
			Razer",""
"ul"," list-subitems","Teclados Mecanico
		
		
		
			
			Teclados de Membrana
		
		
		
			
			Teclados Inalambricos
		
		
	",""
"ul"," list-subitems","All in One
		
		
		
			
			Mini Computadoras
		
		
		
			
			PC de Oficina
		
		
		
			
			PC Gamer
",""
"ul"," list-subitems","Monitores Philips
		
		
		
			
			Monitores HP
		
		
		
			
			Monitores Gigabyte
		
		
		
			
			Mo",""
"ul"," list-subitems","Notebooks AMD
				
			
									
							

	
		
			
			Asus
		
		
		
			
			Gigabyte
		
		
		
			
			",""
"ul"," list-subitems","Asus
		
		
		
			
			Gigabyte
		
		
		
			
			Sony
		
		
		
			
			MSI",""
"ul"," list-subitems","Asus
		
		
		
			
			Gigabyte
		
		
		
			
			HP
		
		
		
			
			Lenovo",""
"ul"," list-subitems","Iqual
		
		
		
			
			Sansung
		
		
		
			
			Lenovo
		
		
		
			
			Smart Kassel
		
		
		
			
			En",""
"ul"," list-subitems","Placas de Red
		
		
		
			
			Cables de Red
		
		
		
			
			Wireless Ap t Bridge - Routers
		
		
		
",""
"ul"," list-subitems","Impresoras Laser
				
			
									
							

	
		
			
			HP
		
		
		
			
			Epson
		
		
		
			
			Br",""
"ul"," list-subitems","HP
		
		
		
			
			Epson
		
		
		
			
			Brother
		
		
		
			
			Lexmark",""
"ul"," list-subitems","HP
		
		
		
			
			Epson",""
"ul"," list-subitems","HP
		
		
		
			
			Epson",""
"ul"," list-subitems","Cartuchos de Tinta
		
		
		
			
			Cintas
		
		
		
			
			Toners",""
"ul"," list-subitems","Joysticks
		
		
		
			
			Camara Web",""
"ul"," list-subitems","Afa
		
		
		
			
			Aureox
		
		
		
			
			Corsair
		
		
		
			
			Cooler Master
		
		
		
			
			RAI",""
"ul"," list-subitems","Asus
		
		
		
			
			Epson
		
		
		
			
			Genius
		
		
		
			
			Gigabyte
		
		
		
			
			Lenovo
		",""
"ul"," list-subitems","Accesorios Seguridad
		
		
		
			
			Camaras Wifi
		
		
		
			
			Camaras IP",""
"ul"," list-subitems","Accesorios para Servidores
		
		
		
			
			Almacenamiento
		
		
		
			
			Disipadores Termicos
		
		",""
